MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,3462306.18,5303025.92,8765332.1,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,8902800.72,13635935.28,22538736,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,2349023.94,3597872.11,5946896.05,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,1667487.3,2553999.54,4221486.84,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,31750257.65,48630141.46,80380399.11,39.5
UK,United Kingdom,2014UK05SFOP004,3.2,Northern Ireland - ESF,ESF,4,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,8305547,5537032,13842579,60
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,5865350.1,8983637.49,14848987.59,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,6765905.73,10362969.54,17128875.27,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation",17311524.33,26515119.54,43826643.87,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,69692332.3,106743952,176436284.3,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,866071.75,1326514.96,2192586.71,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,195038785.76,298730292.12,493769077.88,39.5
UK,United Kingdom,2014UK05SFOP004,3.2,Northern Ireland - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,65263243,97894865,163158108,40
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6B,Local development,1719142.22,2633116.56,4352258.78,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,3281081.42,5025453.82,8306535.24,39.5
