MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
UK,United Kingdom,2014UK05SFOP004,3.2,Northern Ireland - ESF,ESF,1,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,77009551,77009551,154019102,50
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,10519741.6,16112515.61,26632257.21,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,101080849.94,154820035.98,255900885.92,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5D,Reducing GHG and NH3,3743674.09,5733981.83,9477655.92,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation",2771439.98,4244863.77,7016303.75,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation",12857299.48,19692825.79,32550125.27,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,50034209.96,76634676.01,126668885.97,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,6549583.81,10031641.03,16581224.84,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,200174088.93,306595756.46,506769845.39,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,1667487.3,2553999.54,4221486.84,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,15100172.43,23128112.2,38228284.63,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,2998327.24,4592374.63,7590701.87,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,6382020.95,9774994.11,16157015.06,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6B,Local development,2350279.31,3599794.89,5950074.2,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,41324530.82,63294534.55,104619065.37,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,14495604.01,22202127.66,36697731.67,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,101080849.94,154820035.98,255900885.92,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6C,ICT,706496.78,1082102.66,1788599.44,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5D,Reducing GHG and NH3,1715622.65,2627725.83,4343348.48,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,16918990.14,25913896.29,42832886.43,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,192596472.99,294989534.58,487586007.57,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M04,Physical Investment,FA_6A,"Diversification, SMEs and job creation",2372573.85,3633942.23,6006516.08,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,8902800.73,13635935.3,22538736.03,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,195038785.76,298730292.12,493769077.88,39.5
UK,United Kingdom,2014UK05SFOP004,3.2,Northern Ireland - ESF,ESF,2,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,60000000,60000000,120000000,50
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,3713605.35,5687927.18,9401532.53,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5D,Reducing GHG and NH3,10258567.35,15712489.23,25971056.58,39.5
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.4,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,5893940,5893940,11787880,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,6,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,10290030,10290030,20580060,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,141007301,667769514,808776815,17.43
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,8,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,1940000,1940000,3880000,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,8,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,18980000,18980000,37960000,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,6,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,2500000,2500000,5000000,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,17986100,17986100,35972200,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,15975840,15975840,31951680,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.1,01,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,12016920,10162499,22179419,54.18
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,25525132,109100528,134625660,18.96
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,17200764,17200764,34401528,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,8,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,500000,500000,1000000,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,96870771,222096910,318967681,30.37
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,8650000,8650000,17300000,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,2819837,2819837,5639674,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.5,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,5543700,5543700,11087400,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,50917202,50917202,101834404,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.4,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,12300000,12300000,24600000,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.1,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,186668318,432258165,618926483,30.16
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,8,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,2680000,2680000,5360000,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.5,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,10280000,10691200,20971200,49.02
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,4850000,4850000,9700000,50
AT,Austria,2014AT16RFOP001,3.2,Investments in Growth and Employment - AT - ERDF,ERDF,A.3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,6635396,27740690,34376086,19.3
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,7125600,7125600,14251200,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,42753600,42753600,85507200,50
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,27980060,27980060,55960120,50
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,I,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,70385000,12420883,82805883,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,I,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,252665000,44587941,297252941,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,IX,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,20000000,3529412,23529412,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,II,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,4000000,705882,4705882,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,IX,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,35000000,6176471,41176471,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,III,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,33000000,5823529,38823529,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ESF,VIII,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,106191295,18739641,124930936,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,III,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,30000000,5294119,35294119,85
PL,Poland,2014PL16M2OP016,3.1,Zachodniomorskie Voivodeship - ERDF/ESF,ERDF,IX,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,90000000,15882353,105882353,85
IT,Italy,2014IT16RFOP019,5,Umbria - ERDF,ERDF,6,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,2618170,2618170,5236340,50
